16da978b-f4ae-4788-b712-581598df1e16	20221114	09:28:55}	Test test
0a6ed8f6-197a-4e94-a218-edb24ecd5a2e	20221114	09:29:06}	Test test
6b8a38e4-1d9b-4c86-ba1a-4a0fcb17b9fc	20221116	09:01:53}	GET	/
4a9503ce-999a-48a1-9d92-ddf17b4456fc	20221116	09:01:53}	GET	/favicon.ico
f847bd90-6a47-4af6-bd0c-ba43283fa920	20221116	09:03:08}	GET	/
afa1508b-b835-46af-a0fb-703502f0dac1	20221116	09:03:53}	GET	/
6c7cc241-a13b-46e4-936d-12fd8cf37ce8	20221116	09:04:20}	GET	/
786ce0f9-6f24-4c35-bb1c-710b0b0106a6	20221116	09:04:46}	GET	/
c21a45ee-68ce-4e51-a4a6-47002a46481f	20221116	09:26:14}	GET	/
fcdee439-2b3e-47de-9603-4ed615043b2b	20221116	09:27:15}	GET	/index
d2eded42-8262-4dda-815c-d1b05bae23ac	20221116	09:27:37}	GET	/index.htm
88be4577-0efa-459c-8077-c4ff5b62dfce	20221116	09:27:40}	GET	/index.html
8c3724a2-61a3-4dc2-80dd-d4f39011e506	20221116	09:33:26}	GET	/index.html
ca2efdd8-7629-4587-b515-6017539f21e8	20221116	09:36:09}	GET	/index.html
dc41e658-1931-43df-a51c-8e26b402a181	20221116	09:44:34}	GET	/index.html
db98482f-4580-437f-a38d-dd74467f236c	20221116	09:44:57}	GET	/index.html
4219ab12-a310-4bd3-a20c-5537e85dd5b3	20221116	09:45:01}	GET	/
75561e93-ee8b-42e4-b0da-f7478b8b2b8a	20221116	09:45:04}	GET	/
6e360cbb-f960-4c74-aed6-13cf7757db9b	20221116	09:45:04}	GET	/
806ad03d-e0b1-42e3-89a0-5c041b1cad96	20221116	09:45:11}	GET	/
ca590ecf-1f2c-4ea4-8fbb-14b50591369d	20221116	09:48:16}	GET	/
9cfd8890-0471-4906-9cc7-a9a206b30bc2	20221116	09:49:30}	GET	/
427231dd-ff81-4a05-a75a-e6b4d096e6db	20221116	09:49:53}	GET	/
6cb7f968-ae98-4e6d-85dc-ba5cbcfe6234	20221116	09:49:56}	GET	/
0dda69fc-75bc-4046-8608-e05a8325a5f8	20221116	09:50:04}	GET	/
d1f2a901-649f-4991-8f34-05e975cf76e3	20221116	09:51:42}	POST	/
f3cab58a-6f6e-4bd9-8dac-7b6b1115f7c3	20221116	09:51:55}	POST	/books
bca1a5e0-2c27-4de3-98e0-f8a81211db99	20221116	09:52:00}	GET	/books
d54c8353-f6a4-4bc9-860d-8bad41506740	20221116	09:52:04}	PUT	/books
19fe1bce-5106-489e-951d-90e2081ecde6	20221116	09:52:22}	GET	/
9b5209fa-5d84-4304-9b72-7d18f1eecaf9	20221116	09:52:39}	DELETE	/books
728cd4a9-f4bc-4cda-9588-5aedbc5700d2	20221116	09:54:42}	GET	/books
f509132c-fb81-4a2f-8364-9109984c2f6a	20221123	09:01:17}	GET	/
b665ca31-c445-46a0-abb9-75ab32be7489	20221123	09:01:17}	GET	/apple-touch-icon-precomposed.png
